iter	Passed	Remaining
769	1794	536
770	1797	533
771	1800	531
772	1802	529
773	1804	526
774	1806	524
775	1809	522
776	1811	519
777	1813	517
778	1817	515
779	1819	513
780	1821	510
781	1823	508
782	1826	506
783	1828	503
784	1831	501
785	1833	499
786	1836	496
787	1838	494
788	1840	492
789	1842	489
790	1845	487
791	1847	485
792	1849	482
793	1851	480
794	1854	478
795	1856	475
796	1858	473
797	1861	471
798	1863	468
799	1865	466
800	1867	463
801	1870	461
802	1872	459
803	1875	457
804	1877	454
805	1879	452
806	1882	450
807	1884	447
808	1886	445
809	1888	443
810	1890	440
811	1893	438
812	1895	436
813	1897	433
814	1900	431
815	1902	428
816	1904	426
817	1906	424
818	1908	421
819	1911	419
820	1913	417
821	1915	414
822	1917	412
823	1919	410
824	1921	407
825	1923	405
826	1925	402
827	1928	400
828	1930	398
829	1932	395
830	1934	393
831	1936	391
832	1938	388
833	1940	386
834	1942	383
835	1944	381
836	1946	379
837	1948	376
838	1951	374
839	1953	372
840	1955	369
841	1957	367
842	1959	364
843	1962	362
844	1964	360
845	1966	358
846	1969	355
847	1971	353
848	1973	350
849	1975	348
850	1977	346
851	1979	343
852	1982	341
853	1984	339
854	1986	336
855	1988	334
856	1990	332
857	1992	329
858	1994	327
859	1996	325
860	1998	322
861	2001	320
862	2003	318
863	2005	315
864	2007	313
865	2010	311
866	2012	308
867	2015	306
868	2017	304
869	2019	301
870	2021	299
871	2023	297
872	2025	294
873	2028	292
874	2030	290
875	2032	287
876	2034	285
877	2036	283
878	2038	280
879	2041	278
880	2043	276
881	2046	273
882	2048	271
883	2050	269
884	2052	266
885	2054	264
886	2057	262
887	2059	259
888	2062	257
889	2064	255
890	2067	252
891	2069	250
892	2071	248
893	2074	245
894	2076	243
895	2078	241
896	2081	238
897	2083	236
898	2085	234
899	2088	232
900	2090	229
901	2092	227
902	2094	225
903	2097	222
904	2099	220
905	2102	218
906	2104	215
907	2107	213
908	2109	211
909	2111	208
910	2113	206
911	2115	204
912	2118	201
913	2120	199
914	2123	197
915	2125	194
916	2127	192
917	2129	190
918	2131	187
919	2134	185
920	2136	183
921	2138	180
922	2140	178
923	2142	176
924	2144	173
925	2146	171
926	2148	169
927	2150	166
928	2152	164
929	2155	162
930	2157	159
931	2159	157
932	2162	155
933	2164	152
934	2167	150
935	2170	148
936	2172	146
937	2174	143
938	2177	141
939	2179	139
940	2181	136
941	2184	134
942	2186	132
943	2188	129
944	2191	127
945	2193	125
946	2195	122
947	2198	120
948	2200	118
949	2203	115
950	2205	113
951	2207	111
952	2209	108
953	2212	106
954	2214	104
955	2217	102
956	2220	99
957	2223	97
958	2225	95
959	2227	92
960	2230	90
961	2232	88
962	2236	85
963	2239	83
964	2241	81
965	2244	79
966	2247	76
967	2250	74
968	2253	72
969	2255	69
970	2258	67
971	2260	65
972	2262	62
973	2265	60
974	2268	58
975	2270	55
976	2273	53
977	2275	51
978	2278	48
979	2280	46
980	2283	44
981	2285	41
982	2287	39
983	2290	37
984	2292	34
985	2295	32
986	2297	30
987	2300	27
988	2302	25
989	2305	23
990	2307	20
991	2309	18
992	2312	16
993	2314	13
994	2317	11
995	2319	9
996	2322	6
997	2324	4
998	2327	2
999	2329	0
